Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,True,2.5,15.5,West,East
1,False,4.5,15.5,North,South
2,False,12.5,13.5,South,North
4,False,19.5,13.5,East,West
3,True,19.0,17.0,North,South
5,False,23.5,14.5,South,North
6,False,24.5,15.5,West,East
7,False,29.5,13.5,East,West
8,False,33.0,15.5,North,East
9,True,35.5,16.0,West,East
10,False,45.5,13.5,West,East
11,False,48.5,13.5,North,South
12,False,49.0,17.0,South,West
13,True,60.0,15.5,North,South
15,False,63.0,16.5,East,South
14,True,62.5,20.0,West,East
16,False,65.0,19.5,South,North
17,False,74.5,15.5,West,South
19,False,86.5,13.5,North,South
18,True,86.0,19.0,West,South
20,False,87.5,19.5,South,North
21,False,98.0,13.5,South,North
22,True,103.0,15.5,West,East
23,True,107.0,15.5,East,West
24,False,111.0,13.5,North,South
25,False,113.0,15.5,West,North
27,False,118.5,13.5,East,West
26,True,118.0,17.0,South,North
28,False,140.5,13.5,East,West
29,False,143.0,15.5,South,East
30,True,149.5,17.5,North,West
32,False,158.0,13.5,West,East
31,True,158.0,16.5,South,North
33,False,165.5,13.5,East,West
34,False,173.5,13.5,North,South
35,False,175.5,15.5,West,North
36,False,184.0,15.5,South,East
38,False,191.0,15.5,North,East
37,True,190.0,21.5,West,North
39,True,196.5,18.0,South,North
40,False,203.0,15.5,East,North
41,False,206.0,14.5,West,East
42,True,206.5,17.0,South,North
43,False,210.0,17.5,North,East
44,False,214.0,17.5,East,South
45,False,225.5,15.5,North,West
46,True,226.0,18.0,South,North
47,False,227.0,19.0,West,East
48,False,228.0,22.0,East,North
49,False,240.0,15.5,South,East
50,False,242.0,17.5,North,East
51,False,243.5,20.0,East,North
52,False,253.5,13.5,North,South
53,False,257.5,13.5,East,West
54,True,264.5,15.5,North,South
55,False,273.5,13.5,South,North
56,False,280.5,13.5,West,East
57,False,289.5,13.5,South,North
58,False,290.0,15.0,East,West
59,False,292.0,15.0,West,East
60,False,293.5,15.5,North,South
61,True,306.5,15.5,North,South
62,True,306.5,18.5,South,North
63,True,314.5,15.5,West,East
64,True,320.5,15.5,North,South
65,True,323.5,17.5,South,West
67,False,335.5,13.5,North,South
66,True,334.5,17.5,West,East
68,True,342.5,15.5,East,West
69,False,353.0,15.5,South,West
71,False,362.5,15.5,North,West
70,True,362.0,21.0,West,South
72,False,375.5,13.5,West,East
73,False,381.0,15.5,East,North
74,True,385.0,15.5,North,South
75,False,391.0,13.5,South,North
76,True,398.5,15.5,West,East
77,True,400.5,18.5,East,North
78,True,402.5,19.5,North,South
79,False,407.0,17.0,South,North
80,False,425.0,13.5,North,South
81,True,430.0,15.5,East,West
82,True,433.0,17.5,South,East
83,False,435.5,19.0,North,East
84,False,441.5,15.0,West,East
85,False,447.5,15.5,North,West
86,False,448.5,16.5,South,North
87,True,458.5,15.5,South,North
89,False,461.0,15.0,North,South
88,True,460.5,18.5,East,West
90,False,474.0,13.5,South,North
91,False,482.5,15.5,North,East
92,True,486.0,17.5,East,South
93,False,490.0,17.5,South,East
94,False,491.5,18.0,West,East
95,False,496.5,17.0,North,East
96,False,501.5,16.0,South,West
97,False,502.5,17.0,East,West
99,False,507.0,14.5,North,South
98,True,506.0,18.5,West,East
100,True,513.5,17.5,East,North
101,True,519.0,15.5,West,East
102,False,524.0,15.5,South,East
103,False,525.5,16.0,East,West
104,False,526.5,17.0,North,South
105,False,529.0,16.5,West,East
106,False,539.5,13.5,West,East
107,False,541.5,15.5,East,South
108,False,548.5,13.5,South,North
109,True,554.5,17.5,North,East
110,False,558.5,15.5,South,North
111,False,563.0,15.5,East,North
112,False,575.0,15.5,South,East
113,True,577.5,18.0,East,North
114,False,580.0,17.5,North,South
115,True,587.0,15.5,West,East
116,False,592.5,13.5,North,South
117,True,593.5,17.5,South,East
118,False,598.5,16.5,West,South
119,True,604.0,17.5,North,East
120,True,609.5,15.5,East,West
121,True,616.0,15.5,West,East
122,True,617.5,19.0,South,West
123,False,628.0,13.5,West,East
124,False,633.5,13.5,North,South
125,True,635.0,15.5,South,North
126,False,646.0,13.5,East,West
127,False,648.5,15.5,West,North
128,False,654.5,15.5,North,East
129,True,659.0,15.5,South,North
130,False,660.0,18.5,West,North
132,False,667.5,13.5,East,West
131,True,667.0,17.0,North,South
133,False,671.5,14.5,South,North
135,False,679.5,13.5,North,South
134,True,678.5,17.5,East,West
136,False,680.0,18.0,West,East
137,True,688.5,15.5,South,North
138,True,693.0,15.5,West,East
139,False,694.5,16.0,East,West
140,False,698.0,14.5,North,South
141,True,699.5,16.0,South,North
142,True,704.5,17.5,East,North
143,False,706.0,18.0,West,East
144,False,709.0,19.0,North,West
145,False,712.5,17.5,South,North
146,False,725.0,15.5,North,West
147,False,731.0,13.5,South,North
148,False,731.5,17.0,East,South
149,True,732.5,19.0,West,East
150,False,739.5,14.0,North,South
151,True,744.5,15.5,West,East
152,False,750.0,15.5,North,West
153,False,762.0,13.5,West,East
154,False,763.5,16.0,East,South
155,False,764.5,17.0,South,North
156,False,773.5,15.5,East,North
157,False,776.5,14.5,West,East
158,False,779.5,15.5,South,West
159,False,785.5,13.5,East,West
160,False,792.0,13.5,North,South
161,True,794.5,17.5,South,West
163,False,795.5,20.5,West,North
162,True,795.5,23.5,East,West
164,True,811.5,15.5,West,East
165,False,815.0,16.0,North,West
166,False,815.0,18.0,South,North
167,True,827.5,15.5,South,North
168,False,831.0,14.0,North,South
169,True,840.5,15.5,South,North
170,True,847.0,15.5,North,South
171,False,850.0,14.5,East,West
172,True,855.0,15.5,West,East
173,False,857.0,15.5,South,North
174,True,858.5,19.0,North,East
175,False,867.5,13.5,South,North
176,True,869.0,17.5,West,North
177,False,875.0,13.5,North,South
178,True,884.5,15.5,West,East
179,False,888.5,13.5,South,North
180,False,889.0,15.0,North,South
181,False,891.0,15.0,East,West
182,False,898.0,13.5,West,East
183,True,899.0,15.5,South,North
184,True,900.0,19.5,North,West
185,False,909.0,13.5,West,East
187,False,910.0,14.5,North,South
188,False,910.0,16.5,East,West
186,True,909.5,22.0,South,East
189,True,920.5,15.5,South,North
190,True,921.5,17.5,West,East
191,True,923.0,19.0,East,West
192,False,931.5,15.5,North,West
193,False,935.0,14.0,West,East
194,False,937.5,13.5,South,North
195,False,946.5,13.5,East,West
196,True,948.5,17.5,North,West
197,False,951.5,16.5,South,North
198,False,956.5,13.5,West,East
199,False,960.5,13.5,North,South
200,False,970.5,15.5,North,West
201,False,971.5,18.5,East,North
202,True,974.5,20.5,South,East
203,True,975.5,22.5,West,East
204,False,981.0,19.0,North,South
205,False,985.0,17.0,South,North
206,False,988.5,15.5,East,West
207,True,1000.0,17.5,East,North
208,False,1001.0,18.5,South,North
209,False,1011.5,15.5,South,East
210,False,1022.0,15.5,East,North
211,True,1023.0,19.5,North,East
212,False,1027.5,17.0,West,East
213,True,1041.5,15.5,North,South
214,False,1044.5,14.5,West,East
215,True,1046.0,16.0,South,North
216,False,1049.5,14.5,East,West
217,True,1052.0,15.5,North,South
218,False,1061.5,13.5,East,West
219,False,1065.0,15.5,South,East
220,False,1065.5,19.0,West,North
221,False,1071.5,17.0,East,North
222,True,1077.0,17.5,North,East
223,False,1082.5,14.0,West,East
224,False,1084.5,14.0,South,North
225,False,1088.5,15.5,East,South
226,False,1094.5,13.5,South,North
227,True,1105.0,15.5,South,North
228,False,1118.0,15.5,East,North
229,False,1120.5,15.0,West,East
230,True,1123.0,17.5,North,East
231,False,1129.0,15.5,South,West
232,False,1144.5,15.5,North,West
233,False,1149.5,13.5,East,West
234,False,1150.5,14.5,West,East
235,False,1155.0,15.5,South,East
236,True,1163.5,17.5,North,East
237,False,1166.0,19.0,South,East
238,False,1167.5,19.5,West,East
239,False,1177.0,13.5,East,West
240,False,1178.0,14.5,West,East
241,True,1184.0,17.5,North,West
242,True,1187.0,17.5,East,West
243,False,1192.0,14.5,South,North
244,False,1193.5,15.0,West,East
245,False,1194.0,18.5,North,East
246,True,1197.5,20.0,East,North
247,True,1209.5,15.5,South,North
248,False,1213.0,14.0,West,East
249,True,1222.0,15.5,North,South
250,True,1230.5,15.5,East,West
251,False,1240.0,13.5,North,South
252,False,1241.5,16.0,East,North
253,False,1248.0,15.5,West,North
254,False,1256.5,13.5,East,West
255,True,1262.0,15.5,South,North
256,False,1264.0,15.5,North,South
257,True,1271.0,15.5,East,West
258,False,1275.5,13.5,South,North
259,False,1277.0,14.0,North,South
260,False,1287.5,13.5,South,North
262,False,1288.5,14.5,North,South
261,True,1288.0,18.0,West,East
263,False,1302.5,15.5,South,West
264,False,1304.5,15.5,North,South
265,False,1310.0,13.5,East,West
266,True,1313.5,15.5,West,East
267,True,1315.5,16.5,South,North
268,True,1323.5,15.5,North,South
269,True,1338.0,15.5,North,South
270,True,1339.5,17.0,West,East
271,True,1341.0,18.5,South,North
272,True,1343.0,21.5,East,North
273,False,1352.5,14.0,South,North
274,True,1356.0,17.5,East,South
275,True,1362.0,15.5,West,East
276,True,1368.0,15.5,East,West
277,False,1371.5,14.0,South,North
278,False,1374.5,13.5,West,East
279,False,1383.5,13.5,North,South
280,True,1386.0,17.5,South,West
281,False,1387.5,20.0,West,South
282,False,1393.5,18.0,North,West
283,False,1400.5,13.5,South,North
284,True,1402.5,15.5,East,West
286,False,1414.5,13.5,North,South
287,False,1414.5,17.5,South,East
285,True,1414.0,21.0,West,East
288,False,1419.0,18.0,East,West
290,False,1427.0,15.5,West,South
289,True,1426.5,19.0,North,South
291,False,1429.0,18.5,East,West
292,False,1432.5,17.0,South,North
293,True,1442.5,15.5,East,West
294,False,1451.0,13.5,South,North
295,False,1453.5,15.5,East,North
296,False,1456.5,14.5,West,East
297,True,1459.5,15.5,North,South
298,True,1464.5,17.5,South,West
299,False,1472.5,15.5,West,North
300,False,1475.0,17.0,East,North
301,False,1488.0,13.5,East,West
302,True,1489.0,17.5,West,South
303,False,1492.0,18.5,North,East
305,False,1504.5,13.5,West,East
306,False,1505.0,15.0,North,South
304,True,1504.0,19.0,East,West
307,False,1523.0,15.5,North,West
308,False,1524.0,16.5,West,East
309,True,1526.5,17.0,South,North
310,False,1530.0,15.5,East,West
311,False,1535.0,13.5,North,South
312,False,1538.0,13.5,West,East
313,False,1538.5,17.0,South,West
314,False,1545.5,13.5,North,South
315,False,1549.5,13.5,South,North
316,True,1551.5,15.5,West,East
317,False,1559.0,15.5,North,East
318,False,1562.0,16.5,South,East
319,True,1570.0,17.5,North,East
320,False,1577.0,13.5,South,North
321,True,1589.5,15.5,East,West
322,True,1589.5,18.5,South,North
323,True,1597.5,15.5,North,South
324,False,1598.5,18.5,West,South
325,False,1600.5,18.5,East,West
326,False,1613.5,15.5,South,East
327,True,1614.5,17.5,North,South
328,False,1617.5,16.5,West,East
329,True,1623.5,17.5,South,West
330,False,1625.0,18.0,North,South
331,False,1628.0,17.0,West,East
332,False,1630.0,17.0,East,West
333,True,1639.5,17.5,South,East
334,False,1644.0,15.0,North,South
336,False,1648.0,13.5,East,West
335,True,1647.5,17.0,West,East
337,False,1656.0,15.5,North,East
338,False,1659.5,14.0,East,West
339,False,1665.5,13.5,West,East
340,True,1671.5,17.5,North,West
341,True,1677.5,15.5,West,East
342,False,1683.0,13.5,North,South
343,False,1689.5,13.5,South,North
344,True,1691.0,15.5,West,East
345,False,1696.0,15.5,North,East
347,False,1703.0,13.5,West,East
346,True,1702.5,19.0,South,East
348,False,1706.0,17.5,North,South
349,False,1724.0,13.5,West,East
350,False,1725.5,14.0,North,South
351,False,1725.5,18.0,South,East
352,False,1729.0,16.5,East,West
353,False,1736.0,15.5,South,East
354,False,1739.0,14.5,East,West
355,False,1739.5,16.0,North,South
356,False,1740.5,17.0,West,East
357,False,1746.5,13.5,South,North
358,False,1750.5,13.5,West,East
359,False,1756.0,15.5,North,West
360,True,1764.0,17.5,West,South
361,True,1765.0,21.5,South,East
362,False,1767.0,21.5,East,West
363,False,1777.0,15.5,South,East
364,True,1778.0,19.5,North,East
365,True,1780.0,20.5,East,West
366,False,1798.0,13.5,East,West
367,True,1798.5,16.0,North,South
368,True,1798.5,21.0,South,East
369,True,1803.0,21.5,West,South
370,False,1811.0,17.5,East,South
371,True,1822.0,15.5,South,North
372,True,1826.0,15.5,East,West
373,True,1837.0,15.5,North,South
374,True,1837.5,18.0,South,North
375,False,1843.5,14.0,West,East
376,False,1847.0,15.5,East,North
377,False,1848.5,16.0,North,South
378,True,1850.5,17.0,South,North
379,True,1862.0,15.5,West,East
380,True,1865.5,17.5,South,West
381,True,1871.5,15.5,East,West
382,True,1877.0,17.5,South,West
383,False,1879.0,19.5,West,South
384,False,1892.0,15.5,West,South
385,False,1895.0,14.5,East,West
386,False,1899.0,13.5,North,South
387,True,1915.0,15.5,West,East
388,True,1917.5,18.0,East,South
389,True,1918.5,22.0,North,East
390,False,1928.0,14.5,East,West
391,False,1931.5,15.5,South,West
392,False,1939.5,13.5,East,West
393,False,1942.0,15.5,South,West
394,False,1948.5,13.5,North,South
395,False,1951.0,13.5,West,East
396,False,1958.0,15.5,East,North
397,True,1961.0,15.5,South,North
398,True,1961.5,18.0,North,South
399,True,1965.5,17.0,West,East
400,False,1969.5,17.0,East,North
401,True,1984.5,15.5,East,West
402,True,1986.0,19.0,West,North
403,False,1995.0,13.5,North,South
404,True,1996.5,17.5,South,East
405,True,1998.0,21.0,East,North
406,False,2006.0,17.0,North,East
407,False,2008.0,17.0,South,North
408,False,2008.0,19.0,West,East
409,False,2011.0,20.0,East,North
410,False,2017.5,15.5,North,South
411,True,2025.5,17.5,East,South
412,False,2035.5,13.5,South,North
413,False,2036.0,15.0,East,West
414,False,2038.0,17.0,North,East
415,False,2047.5,15.5,East,South
416,True,2058.0,17.5,East,North
417,False,2061.5,16.0,West,East
418,False,2062.5,17.0,South,North
419,False,2068.0,15.5,East,North
420,False,2075.5,15.5,West,North
421,False,2077.0,18.0,South,East
422,False,2082.5,16.5,East,South
423,True,2086.5,15.5,West,East
424,False,2088.5,15.5,North,South
425,False,2093.0,15.5,South,West
427,False,2099.0,15.5,West,North
426,True,2099.0,18.5,North,South
429,False,2111.5,15.5,North,West
428,True,2110.5,19.5,West,East
430,False,2112.5,21.5,East,North
431,False,2122.0,14.0,North,South
432,False,2124.0,14.0,South,North
433,True,2132.5,15.5,East,West
434,False,2135.0,15.0,South,North
435,False,2136.0,16.0,North,South
436,False,2141.5,13.5,West,East
437,False,2147.0,15.5,North,West
438,False,2147.0,17.5,East,West
439,False,2158.5,13.5,South,North
440,False,2164.5,15.5,West,South
441,False,2174.5,13.5,South,North
442,True,2175.0,16.0,East,West
443,False,2179.5,13.5,North,South
444,False,2187.5,15.5,West,North
445,True,2193.5,15.5,South,North
446,False,2197.0,16.0,East,South
447,True,2198.0,18.0,North,South
448,False,2200.5,17.5,West,East
449,True,2207.5,17.5,East,South
450,False,2215.0,15.5,South,West
452,False,2222.0,13.5,East,West
451,True,2222.0,16.5,North,South
453,False,2245.0,15.5,North,West
454,True,2245.0,20.5,East,South
455,True,2246.5,22.0,West,East
456,True,2252.0,21.5,South,East
457,True,2255.5,21.0,North,South
458,False,2257.0,23.5,West,South
459,False,2259.5,23.0,East,West
460,False,2262.0,24.5,South,West
461,False,2268.5,22.0,West,North
462,False,2270.0,24.5,North,West
463,True,2278.0,19.5,South,North
464,False,2282.0,17.5,North,South
465,False,2283.0,20.5,East,North
466,False,2289.5,16.0,South,North
467,False,2299.5,13.5,South,North
468,False,2300.5,14.5,East,West
469,True,2301.5,18.5,West,South
470,False,2313.0,15.5,South,East
471,False,2317.5,15.5,West,South
472,True,2318.5,17.5,East,West
473,True,2329.5,17.5,South,West
474,False,2339.0,15.5,West,North
475,False,2341.5,15.0,North,South
476,False,2355.0,13.5,West,East
478,False,2355.5,17.0,East,North
477,True,2355.5,22.0,North,West
479,True,2356.5,26.0,South,East
480,True,2366.0,21.5,North,East
481,True,2367.0,23.5,West,East
482,False,2370.0,22.5,South,North
483,False,2381.0,13.5,East,West
484,True,2381.5,16.0,North,South
485,False,2382.5,17.0,South,North
486,False,2392.5,13.5,South,North
488,False,2395.5,13.5,North,South
487,True,2395.0,17.0,West,East
489,False,2406.0,15.5,South,West
490,False,2408.0,17.5,West,North
491,False,2412.0,15.5,East,West
492,False,2422.0,13.5,North,South
493,True,2425.0,17.5,South,West
494,True,2439.5,17.5,West,North
495,False,2443.5,15.5,South,North
496,False,2455.5,13.5,South,North
497,False,2462.0,13.5,North,South
498,False,2463.5,14.0,West,East
499,False,2467.0,15.5,South,West
500,True,2467.5,18.0,East,West
501,False,2472.0,17.5,North,East
502,True,2473.5,19.0,West,East
503,False,2479.0,17.5,South,West
504,False,2483.0,15.5,East,West
505,False,2485.5,17.0,North,West
506,False,2489.0,17.5,West,South
507,False,2500.5,13.5,East,West
508,False,2500.5,17.5,South,West
509,False,2507.0,13.5,North,South
510,False,2513.0,13.5,South,North
511,True,2514.5,15.5,West,East
512,False,2522.5,13.5,East,West
513,False,2534.0,13.5,West,East
514,False,2542.5,13.5,North,South
515,False,2547.0,13.5,West,East
516,True,2559.5,15.5,East,West
517,False,2565.0,15.5,North,West
518,False,2565.5,17.0,South,North
519,False,2567.0,17.5,West,East
520,True,2572.5,15.5,East,West
521,False,2582.0,13.5,West,East
522,False,2583.5,16.0,North,West
523,False,2593.5,15.5,East,North
524,True,2595.0,17.0,South,North
525,True,2595.0,20.0,West,East
526,False,2596.5,22.5,North,East
527,False,2605.5,15.5,West,East
528,True,2607.5,16.5,North,South
529,True,2608.0,19.0,South,North
530,True,2620.5,15.5,West,East
531,False,2627.5,15.5,South,West
532,True,2632.5,17.5,West,North
533,False,2635.0,17.0,North,South
534,True,2640.0,17.5,East,South
535,False,2643.0,18.5,West,North
536,True,2646.5,20.0,North,West
537,True,2652.5,17.0,East,West
538,True,2656.0,18.5,West,North
539,True,2660.5,17.0,South,North
540,False,2672.5,13.5,East,West
541,False,2675.5,15.5,South,East
542,True,2683.5,15.5,North,South
543,True,2683.5,18.5,East,West
544,True,2686.0,19.0,South,North
545,False,2691.0,18.0,West,North
546,False,2694.0,19.0,East,South
547,False,2696.0,19.0,South,North
548,False,2704.5,13.5,North,South
549,True,2705.5,17.5,West,South
550,True,2706.0,20.0,South,North
551,True,2718.0,15.5,West,East
553,False,2724.5,13.5,East,West
552,True,2724.5,16.5,North,South
554,False,2734.0,13.5,West,East
555,False,2734.5,15.0,South,North
556,True,2735.0,19.5,North,West
557,False,2737.5,19.0,East,West
558,True,2749.5,15.5,East,West
559,False,2750.5,16.5,South,North
560,False,2751.0,18.0,West,East
561,False,2760.5,15.5,North,West
562,False,2765.0,13.5,West,East
563,False,2770.5,13.5,East,West
564,True,2782.0,15.5,East,West
565,False,2789.0,15.5,South,East
566,True,2792.5,17.5,East,North
567,False,2797.0,17.0,West,North
568,False,2799.0,17.0,North,South
569,False,2801.0,17.0,South,North
570,True,2807.5,17.5,East,North
571,False,2809.5,19.5,North,West
572,False,2816.0,17.0,West,South
573,False,2821.0,16.0,North,West
574,False,2826.5,15.5,South,East
575,False,2829.0,17.0,East,North
576,True,2836.5,17.5,West,North
577,False,2855.5,13.5,West,East
578,False,2857.5,15.5,North,West
579,False,2858.0,17.0,South,North
580,False,2862.0,15.0,East,West
581,False,2867.5,13.5,West,East
582,False,2883.5,15.5,West,South
583,True,2887.5,15.5,East,West
584,False,2899.0,13.5,North,South
585,True,2899.0,16.5,South,North
586,True,2899.5,19.0,West,East
587,True,2910.5,15.5,West,East
588,False,2916.5,13.5,North,South
589,False,2918.0,14.0,East,West
590,False,2930.0,13.5,West,East
591,True,2935.0,15.5,South,North
593,False,2942.0,13.5,East,West
592,True,2941.5,17.0,North,South
594,True,2958.0,17.5,South,East
595,False,2960.0,17.5,East,West
596,False,2973.5,13.5,North,South
597,False,2980.0,13.5,South,North
598,True,2983.0,15.5,East,West
599,True,2984.0,19.5,North,East
600,True,2984.0,22.5,West,East
601,True,2992.0,17.5,South,North
602,False,2997.0,14.5,North,South
603,True,3000.5,17.5,West,South
604,True,3008.0,17.5,South,East
605,True,3011.0,17.5,West,East
606,True,3015.5,18.0,East,South
607,False,3020.5,15.0,North,South
608,False,3022.5,15.0,West,East
609,True,3028.5,15.5,South,North
610,False,3034.0,13.5,East,West
611,True,3044.5,15.5,North,South
612,True,3052.0,15.5,East,West
613,True,3059.5,17.5,North,West
614,False,3067.0,13.5,East,West
615,False,3070.5,15.5,West,North
616,False,3078.5,15.5,North,West
617,True,3081.0,16.0,South,North
618,False,3093.5,15.5,West,South
619,True,3094.0,18.0,South,North
620,False,3096.5,17.5,North,South
621,False,3105.0,13.5,South,North
622,True,3116.5,15.5,West,East
623,False,3125.0,13.5,East,West
624,True,3127.0,17.5,North,East
625,True,3129.5,18.0,South,North
626,False,3137.5,15.5,West,South
627,False,3140.5,14.5,North,South
628,False,3149.5,15.5,South,East
629,False,3151.0,16.0,West,East
630,True,3154.0,16.0,East,West
631,True,3159.0,15.5,North,South
632,False,3161.0,15.5,West,East
633,False,3164.0,14.5,East,West
634,False,3168.0,13.5,South,North
635,True,3175.5,15.5,East,West
636,False,3180.0,13.5,West,East
637,True,3183.5,15.5,South,North
638,False,3185.0,16.0,North,South
640,False,3199.0,15.5,West,North
639,True,3199.0,18.5,North,South
642,False,3204.5,15.0,East,West
641,True,3203.5,19.0,South,North
643,False,3209.5,15.0,West,East
644,False,3220.0,13.5,East,West
646,False,3230.0,13.5,North,South
645,True,3229.0,17.5,South,North
647,False,3232.0,16.5,East,West
648,False,3243.0,15.5,South,East
649,False,3252.0,15.5,North,East
651,False,3259.5,15.5,East,South
650,True,3258.5,19.5,West,East
652,False,3260.0,20.0,South,North
653,True,3268.5,15.5,North,South
654,True,3272.5,15.5,South,North
655,True,3277.5,15.5,West,East
656,False,3279.0,16.0,East,West
657,True,3289.5,17.5,East,North
658,True,3293.0,17.0,West,East
659,True,3294.0,19.0,North,South
660,False,3303.5,13.5,South,North
661,True,3319.0,15.5,North,South
662,False,3324.0,13.5,East,West
663,False,3335.5,13.5,South,North
665,False,3342.0,13.5,East,West
664,True,3341.5,19.0,North,East
666,False,3352.5,13.5,West,East
667,False,3354.0,16.0,North,East
668,False,3362.5,13.5,South,North
669,False,3367.0,13.5,West,East
670,False,3369.0,15.5,North,West
671,False,3373.5,15.5,East,North
672,False,3381.5,13.5,South,North
673,False,3384.0,13.5,East,West
674,False,3386.5,13.5,North,South
675,False,3389.0,13.5,West,East
676,False,3393.5,15.5,South,West
677,True,3399.5,17.5,West,South
678,True,3400.0,22.0,North,East
679,True,3414.5,15.5,West,East
680,False,3416.0,16.0,East,West
681,False,3417.0,17.0,North,South
682,False,3428.0,13.5,North,South
683,True,3428.0,16.5,South,North
684,False,3430.0,16.5,West,East
685,False,3440.5,15.5,West,North
686,False,3453.5,13.5,West,East
687,False,3455.0,14.0,North,South
688,False,3460.0,13.5,South,North
689,False,3461.5,16.0,East,North
690,False,3468.0,13.5,West,East
691,True,3476.5,17.5,South,East
692,False,3478.0,18.0,North,South
693,False,3483.0,15.0,West,East
694,False,3495.0,13.5,South,North
695,False,3495.5,17.0,North,West
696,True,3499.0,18.5,East,South
697,False,3505.0,14.5,South,North
698,False,3506.5,17.0,West,North
699,False,3520.0,13.5,South,North
700,False,3521.5,16.0,East,North
701,False,3523.5,16.0,West,East
702,False,3535.5,15.5,West,North
703,True,3547.0,15.5,North,South
704,True,3556.5,15.5,South,North
705,True,3559.5,15.5,East,West
706,False,3572.5,13.5,East,West
707,False,3573.0,15.0,West,East
708,False,3577.0,13.5,North,South
709,False,3585.5,13.5,West,East
710,False,3587.0,14.0,South,North
711,True,3590.5,17.5,East,North
712,True,3591.0,20.0,North,South
713,False,3603.0,15.5,North,East
714,False,3613.5,13.5,West,East
715,True,3619.0,15.5,South,North
716,True,3620.5,19.0,East,South
717,True,3621.0,21.5,North,South
718,True,3625.5,20.0,West,East
720,False,3637.0,15.5,North,West
719,True,3636.0,19.5,East,West
721,True,3642.5,16.0,West,East
722,True,3646.0,15.5,East,West
723,False,3652.0,13.5,North,South
724,False,3654.5,13.5,West,East
725,False,3661.5,13.5,South,North
726,True,3664.5,15.5,West,East
727,True,3670.5,15.5,North,South
728,True,3677.0,15.5,South,North
730,False,3687.0,13.5,West,East
729,True,3687.0,16.5,South,North
731,False,3697.0,13.5,South,North
732,False,3700.5,13.5,West,East
733,False,3706.0,13.5,North,South
734,True,3707.5,15.5,South,North
735,False,3717.5,13.5,West,East
736,False,3718.0,15.0,East,West
737,False,3725.0,13.5,South,North
738,False,3735.0,13.5,East,West
739,True,3743.5,15.5,West,East
740,False,3756.5,13.5,North,South
741,False,3760.0,15.5,West,South
742,False,3761.0,18.5,South,East
743,False,3769.5,15.5,East,North
744,True,3773.5,15.5,West,East
745,False,3785.0,13.5,North,South
746,False,3786.5,14.0,West,East
747,True,3795.0,17.5,East,South
748,True,3797.5,18.0,North,South
749,True,3800.5,18.0,West,East
750,False,3803.5,17.0,South,North
751,True,3811.5,15.5,West,East
752,False,3814.5,16.5,South,East
754,False,3823.5,15.5,North,East
753,True,3822.5,19.5,West,East
755,False,3831.0,13.5,East,West
756,True,3835.0,15.5,West,East
757,False,3841.5,13.5,North,South
758,False,3843.0,14.0,East,West
759,False,3848.0,13.5,West,East
760,False,3859.5,15.5,East,South
761,False,3865.0,13.5,North,South
762,True,3866.5,15.5,South,North
763,True,3875.5,15.5,North,South
764,False,3886.5,15.5,West,South
765,False,3900.0,13.5,North,South
766,False,3900.5,17.0,East,North
767,True,3902.5,20.0,South,West
768,False,3908.5,16.0,West,East
769,False,3912.0,16.5,East,South
770,False,3916.5,16.0,North,East
771,False,3924.5,15.5,West,South
772,False,3926.0,18.0,South,East
773,True,3927.5,19.5,East,West
775,False,3939.5,15.5,East,South
774,True,3939.5,18.5,North,South
776,True,3947.0,15.5,South,North
777,False,3948.0,18.5,West,North
778,False,3952.0,16.5,North,South
779,False,3955.0,15.5,East,West
780,False,3958.0,14.5,West,East
782,False,3969.0,13.5,North,South
781,True,3968.0,17.5,East,West
783,False,3975.5,13.5,West,East
784,False,3977.5,15.5,South,East
785,False,3986.5,13.5,East,West
786,False,3987.0,15.0,North,South
787,True,3987.5,17.5,South,North
789,False,3999.0,13.5,West,East
788,True,3998.5,19.0,North,East
790,False,4001.0,18.5,South,North
791,False,4011.0,13.5,South,North
793,False,4016.0,13.5,North,South
792,True,4015.5,19.0,West,South
794,False,4018.0,18.5,East,West
795,False,4033.5,15.5,West,North
796,False,4034.0,19.0,North,West
797,False,4035.0,22.0,South,East
798,True,4044.0,16.0,East,West
799,True,4045.5,17.5,North,South
800,True,4047.5,18.5,West,East
801,False,4054.0,14.0,South,North
802,False,4055.5,14.5,North,South
803,False,4061.0,13.5,East,West
804,True,4063.5,15.5,West,East
805,False,4073.5,13.5,West,East
806,False,4075.0,14.0,East,West
808,False,4075.5,15.5,North,South
807,True,4075.0,21.0,South,West
809,True,4087.0,17.5,South,West
810,True,4089.5,18.0,West,East
811,False,4091.0,18.5,North,South
812,True,4098.5,17.5,East,North
813,True,4105.5,15.5,South,North
814,True,4107.5,18.5,North,West
815,True,4109.5,19.5,West,East
816,False,4115.5,15.5,East,West
817,False,4117.5,17.5,North,East
818,False,4125.0,13.5,West,East
819,False,4128.0,13.5,East,West
820,False,4131.0,13.5,South,North
821,True,4134.5,15.5,North,South
822,True,4142.5,15.5,West,East
823,False,4147.5,15.5,South,West
824,False,4151.5,13.5,East,West
825,False,4152.0,17.0,North,West
826,False,4157.0,14.0,West,East
827,True,4164.5,17.5,North,East
828,True,4165.5,19.5,East,West
829,True,4172.5,15.5,West,East
830,True,4181.5,15.5,East,West
831,False,4184.0,15.0,West,East
832,True,4185.0,17.0,North,South
